मां	{'noun': ['positive']}
लंबरूप_में	{'adv': ['negative']}
नाग	{'noun': ['negative']}
संकट	{'noun': ['negative']}
मजबूत_बनाने_में	{'noun': ['negative']}
समानता	{'noun': ['negative']}
मोटा	{'noun': ['negative']}
मेहरबान	{'adj': ['negative']}
हताश	{'adj': ['negative']}
पथभ्रष्ट	{'adj': ['negative']}
अराजकतावाद	{'noun': ['negative']}
परिवर्तनशील	{'adj': ['negative']}
अवज्ञा_का	{'adj': ['negative']}
ज़ंग_खाया_हुआ	{'adj': ['negative']}
हिंसक	{'adj': ['negative']}
तीखा	{'adj': ['negative']}
अपव्ययी	{'adj': ['negative']}
आमना-सामना	{'noun': ['negative']}
अति_उत्साही	{'adj': ['negative']}
उत्पीड़न	{'noun': ['negative']}
आरोप_लगा	{'anypos': ['negative']}
भूल_से	{'adv': ['negative']}
पागल_आदमी	{'noun': ['negative']}
तंग	{'adj': ['negative']}
बेडौल	{'adj': ['negative']}
चुंबक_बनाने_की_क्रिया	{'noun': ['negative']}
निराधार	{'adj': ['negative']}
बेशरम	{'adj': ['negative']}
ग़लती	{'noun': ['negative']}
मिथक	{'noun': ['negative']}
पुनर्वास	{'adj': ['negative']}
आत्मसंतुष्ट	{'adj': ['negative']}
छितराया_हुआ	{'adj': ['negative']}
जीवित	{'adj': ['negative']}
घायल	{'adj': ['negative']}
डाल_दिया_गया	{'adj': ['negative']}
मृगतृष्णा	{'noun': ['negative']}
आरोपण	{'noun': ['negative']}
फजी	{'adj': ['negative']}
लड़ाई_का_मैदान	{'noun': ['negative']}
शिथिलता	{'noun': ['negative']}
पाखंडी	{'noun': ['negative'], 'adj': ['negative']}
प्रतिमा	{'noun': ['negative']}
टकरा	{'anypos': ['negative']}
जांच_का	{'adj': ['negative']}
भयावह	{'adj': ['negative']}
उथल-पुथल	{'noun': ['negative']}
अहेतुक	{'noun': ['negative']}
सहानुभूतिपूर्ण	{'noun': ['negative']}
दंभी	{'adj': ['negative']}
फिसलनदार	{'adj': ['negative']}
उछाल	{'noun': ['negative']}
माया	{'noun': ['negative']}
प्रदूषक	{'noun': ['negative']}
बुराई	{'noun': ['negative']}
नाराज़गी	{'noun': ['negative']}
दृढ़ता	{'noun': ['negative']}
कुरूपता	{'noun': ['negative']}
भयंकर_रूप_से	{'adj': ['negative']}
अनुपस्थित_रहने	{'adj': ['negative']}
कलंक	{'noun': ['negative']}
अकेलापन	{'noun': ['negative']}
इलाज_सभी	{'noun': ['negative']}
मजीठ	{'noun': ['negative']}
असंगत	{'noun': ['negative'], 'adj': ['negative']}
अमित्र	{'adj': ['negative']}
डरावना	{'anypos': ['negative'], 'adj': ['negative']}
उपेक्षापूर्ण	{'adj': ['negative']}
कट्टर_विरोधी	{'adj': ['negative']}
प्रेरणा	{'adj': ['negative']}
गैर_जिम्मेदाराना	{'adv': ['negative']}
आडंबरपूर्ण_शैली	{'noun': ['negative']}
जीव	{'anypos': ['negative']}
अकेला	{'noun': ['negative'], 'adj': ['negative']}
थोड़ा	{'adv': ['negative'], 'adj': ['negative']}
निर्वासित	{'noun': ['negative']}
गूदा	{'noun': ['negative']}
नगण्य	{'adj': ['negative']}
की_आलोचना	{'anypos': ['negative']}
खदबदा	{'adj': ['negative']}
ज़हर	{'noun': ['negative']}
भार_रहित	{'adj': ['negative']}
स्थिरता	{'noun': ['negative']}
धीरे-धीरे	{'adv': ['negative']}
एहतियात_से	{'adv': ['negative']}
बीमार	{'noun': ['negative'], 'adj': ['negative'], 'adv': ['negative']}
ढूढने	{'adj': ['negative']}
चुप	{'adj': ['negative']}
असंभावना_से	{'adv': ['negative']}
घाव	{'noun': ['negative']}
हद_से_अधिक	{'adj': ['negative']}
कृपालु	{'adj': ['negative']}
विष	{'noun': ['negative']}
अंतरिम_रूप_से	{'adv': ['negative']}
माना_जाता	{'adj': ['negative']}
डमी	{'noun': ['negative']}
उत्तरजीवी	{'noun': ['negative']}
अनिश्चित_काल_के_लिए	{'adv': ['negative']}
व्याधिग्रस्त	{'adj': ['negative']}
मसख़रेपन_से	{'adv': ['negative']}
काफी	{'adv': ['negative'], 'adj': ['negative']}
विकलता	{'noun': ['negative']}
पागलपन	{'noun': ['negative']}
अति_क्रुद्ध	{'adj': ['negative']}
नुकसान	{'noun': ['negative']}
सुखवादी	{'adj': ['negative']}
एहतियात	{'noun': ['negative']}
खट्टा	{'adj': ['negative']}
परित्यक्त	{'adj': ['negative']}
भ्रम	{'noun': ['negative'], 'anypos': ['negative']}
अकाल	{'noun': ['negative']}
क्षय	{'noun': ['negative']}
फालतू	{'anypos': ['negative']}
हंसी	{'noun': ['negative']}
परजीवी	{'noun': ['negative']}
हमला	{'noun': ['negative']}
बुद्धिहीन	{'adj': ['negative']}
तेजस्वी	{'adj': ['negative']}
कैस्युइस्ट्री	{'noun': ['negative']}
की_शिकायत	{'anypos': ['negative']}
पैंतरेबाज़ी	{'noun': ['negative']}
मुद्रास्फीति	{'adj': ['negative']}
अनावश्यक	{'adj': ['negative']}
अपर्याप्त	{'adv': ['negative'], 'adj': ['negative']}
दृढ़	{'adj': ['negative']}
विद्रोह	{'noun': ['negative']}
राड़	{'anypos': ['negative']}
ऊटपटांग	{'adj': ['negative']}
तत्त्व	{'noun': ['negative']}
गहरा	{'noun': ['negative']}
फेनिल	{'adj': ['negative']}
अपव्यय	{'noun': ['negative']}
कलम	{'noun': ['negative']}
सहानुभूति	{'noun': ['negative']}
खरा	{'adj': ['negative']}
बावला	{'adj': ['negative']}
कच्चा	{'adj': ['negative']}
दुर्दशा	{'noun': ['negative']}
समांता	{'noun': ['negative']}
कामातुर	{'adj': ['negative']}
ना_करे	{'adj': ['negative']}
अपवादात्मक	{'adj': ['negative']}
उतावलापन	{'noun': ['negative']}
थोड़े_थोड़े_गरम	{'adj': ['negative']}
दुर्गंन्धयुक्त	{'adj': ['negative']}
आरक्षण	{'noun': ['negative']}
हांफी	{'noun': ['negative']}
